Start_Time,End_Time,Wake_Sleep,Breathing_Rate_Deviation,Breathing_Rate_Variability,Num_Events,all_90th_percentile,variance,Sleep_Stage
2026-05-29 02:55:37,2026-05-29 02:58:37,1,4.14925977396163,0.0024021201742948,0,19.7992597739616,8.1351163914051,2
2026-05-29 02:58:38,2026-05-29 03:01:38,1,4.07602739726027,0.008397137400271,0,19.7260273972603,7.85599492917311,2
2026-05-29 03:01:38,2026-05-29 03:04:38,1,3.32233201581027,0.0015620461055502,0,18.9723320158103,4.29136800923507,2
2026-05-29 03:04:38,2026-05-29 03:07:38,1,5.12922077922078,0.0050149937484541,0,20.7792207792208,7.13367102715009,2
2026-05-29 03:07:38,2026-05-29 03:10:38,1,4.26701244813278,0.0026406713613754,0,19.9170124481328,11.1404503371309,2
2026-05-29 03:10:38,2026-05-29 03:13:38,1,4.89794520547946,0.002387468095691,0,20.5479452054795,11.2217812534067,2
2026-05-29 03:13:39,2026-05-29 03:16:39,1,2.918665377176,0.0030975440959842,0,18.568665377176,8.4858416231413,2
2026-05-29 03:16:39,2026-05-29 03:19:39,1,3.73610662358644,0.0037254833938424,0,19.3861066235864,10.7104546994412,2
2026-05-29 03:19:39,2026-05-29 03:22:39,1,5.62282769746013,0.0019940320773208,1,21.2728276974601,19.7297897276028,2
2026-05-29 03:22:39,2026-05-29 03:25:39,1,4.86282051282052,0.0017455175574934,0,20.5128205128205,6.25401811663371,2
2026-05-29 03:25:39,2026-05-29 03:28:39,1,5.68333333333333,0.0023314140381921,0,21.3333333333333,15.3361751404502,2
2026-05-29 03:28:40,2026-05-29 03:31:40,1,4.21206896551724,0.0030125590676145,0,19.8620689655172,11.6546861589851,2
2026-05-29 03:31:40,2026-05-29 03:34:40,1,2.38456397741139,0.0035973707714288,0,18.0345639774114,6.28920870156882,2
2026-05-29 03:34:40,2026-05-29 03:37:40,1,3.47674085850558,0.0019974666990811,0,19.1267408585056,6.16641648457147,2
2026-05-29 03:37:40,2026-05-29 03:40:40,1,5.77857142857143,0.0029740882020416,0,21.4285714285714,11.18274668756,2
2026-05-29 03:40:40,2026-05-29 03:43:40,1,4.02213114754098,0.002479387902469,0,19.672131147541,5.97102009770235,2
2026-05-29 03:43:41,2026-05-29 03:46:41,1,5.18936324167872,0.0030813938894722,0,20.8393632416787,6.44279566466515,2
2026-05-29 03:46:41,2026-05-29 03:49:41,1,3.62710843373493,0.0016291086363032,1,19.2771084337349,3.86197410356438,2
2026-05-29 03:49:41,2026-05-29 03:52:41,0,1.67851985559568,0.0027011450855232,1,17.3285198555957,11.1227289501518,0
2026-05-29 03:52:41,2026-05-29 03:55:41,1,5.07538860103626,0.0023097851707372,0,20.7253886010363,8.54224519901366,2
2026-05-29 03:55:41,2026-05-29 03:58:41,1,3.43225711240122,0.0032456997015321,1,19.0822571124012,8.69310827201433,1
2026-05-29 03:58:42,2026-05-29 04:01:42,1,3.55,0.0077742018461676,1,19.2,9.70422496580943,1
2026-05-29 04:01:42,2026-05-29 04:04:42,1,4.8628205128205,0.0053830754846537,1,20.5128205128205,13.809768209755,1
2026-05-29 04:04:42,2026-05-29 04:07:42,1,2.77610364683302,0.0035654830653928,1,18.426103646833,11.6103444044189,1
2026-05-29 04:07:42,2026-05-29 04:10:42,1,2.19386617100372,0.0013450440291674,1,17.8438661710037,7.19427994781804,1
2026-05-29 04:10:42,2026-05-29 04:13:42,1,3.98412736317341,0.0019036954083133,1,19.6341273631734,8.88151219864875,1
2026-05-29 04:13:43,2026-05-29 04:16:43,1,2.83998459167951,0.0030102725820134,0,18.4899845916795,4.83981577086197,1
2026-05-29 04:16:43,2026-05-29 04:19:43,1,4.82785547785548,0.0023707516003227,1,20.4778554778555,9.98121279837167,1
2026-05-29 04:19:43,2026-05-29 04:22:43,1,2.64268292682926,0.0038866770040027,1,18.2926829268293,11.5206649174328,1
2026-05-29 04:22:43,2026-05-29 04:25:43,1,4.8488424409208,0.0059269460709833,2,20.4988424409208,10.5058383252066,1
2026-05-29 04:25:43,2026-05-29 04:28:43,1,4.13044402456306,0.0034173099583158,0,19.7804440245631,5.64656038854789,1
2026-05-29 04:28:44,2026-05-29 04:31:44,1,3.42790143084262,0.0027791206782844,0,19.0779014308426,6.53121876944119,1
2026-05-29 04:31:44,2026-05-29 04:34:44,1,2.9546511627907,0.0025509514420509,0,18.6046511627907,7.27777324298439,1
2026-05-29 04:34:44,2026-05-29 04:37:44,1,2.30335861435691,0.0021475005864091,0,17.9533586143569,5.97231437202728,2
2026-05-29 04:37:44,2026-05-29 04:40:44,1,4.57725505030864,0.0048739072294424,0,20.2272550503086,17.1626550947358,2
2026-05-29 04:40:44,2026-05-29 04:43:44,1,2.39511278195487,0.0029618919024581,0,18.0451127819549,4.81089575218766,2
2026-05-29 04:43:45,2026-05-29 04:46:45,1,5.51402116402115,0.0038022974846657,0,21.1640211640211,9.09750681693071,2
2026-05-29 04:46:45,2026-05-29 04:49:45,1,2.54279656942868,0.0024760828524033,0,18.1927965694287,7.80349888600736,2
2026-05-29 04:49:45,2026-05-29 04:52:45,1,4.54635343618514,0.0052929304129877,1,20.1963534361851,14.5965619479529,2
2026-05-29 04:52:45,2026-05-29 04:55:45,1,4.18471074380165,0.0025169827315417,0,19.8347107438016,8.32583618604195,2
2026-05-29 04:55:45,2026-05-29 04:58:45,1,3.39761904761905,0.0016445204843369,0,19.047619047619,4.26887901225332,2
2026-05-29 04:58:46,2026-05-29 05:01:46,1,0.788356164383563,0.0022194141062333,1,16.4383561643836,4.663135410035,2
2026-05-29 05:01:46,2026-05-29 05:04:46,1,4.17841947678195,0.002639941786393,0,19.8284194767819,8.07223305858335,2
2026-05-29 05:04:46,2026-05-29 05:07:46,1,4.78956043956044,0.0029363611593613,0,20.4395604395604,19.6957593356413,2
2026-05-29 05:07:46,2026-05-29 05:10:46,1,5.15131321421807,0.0029005612199087,0,20.8013132142181,7.08108192074419,2
2026-05-29 05:10:46,2026-05-29 05:13:46,1,2.58746848755742,0.0020450569918029,0,18.2374684875574,5.75392340268542,2
2026-05-29 05:13:47,2026-05-29 05:16:47,1,6.06945701357465,0.0039820213017183,0,21.7194570135747,10.5928781480153,2
2026-05-29 05:16:47,2026-05-29 05:19:47,1,2.43353808353808,0.0035424349445553,0,18.0835380835381,6.8232448005584,2
2026-05-29 05:19:47,2026-05-29 05:22:47,1,2.89714064914993,0.0027063825682737,0,18.5471406491499,9.30169380080063,2
2026-05-29 05:22:47,2026-05-29 05:25:47,1,3.922006940428,0.0018768300372781,0,19.572006940428,4.96604212419793,2
2026-05-29 05:25:47,2026-05-29 05:28:47,1,4.1519801980198,0.0015950757606844,3,19.8019801980198,6.57336905676353,2
2026-05-29 05:28:48,2026-05-29 05:31:48,1,2.26726821919526,0.0021577695094222,0,17.9172682191953,9.21206869949541,2
2026-05-29 05:31:48,2026-05-29 05:34:48,1,5.97162162162162,0.0039377541089755,0,21.6216216216216,15.7839043808701,2
2026-05-29 05:34:48,2026-05-29 05:37:48,1,4.79293015332197,0.0019559220152721,1,20.442930153322,4.76937566401639,2
2026-05-29 05:37:48,2026-05-29 05:40:48,1,2.89714064914993,0.0024738431048128,0,18.5471406491499,7.54166065884319,2
2026-05-29 05:40:48,2026-05-29 05:43:48,1,1.51743471582181,0.0036964300937987,1,17.1674347158218,8.03676920811414,2
2026-05-29 05:43:49,2026-05-29 05:46:49,1,3.95600132788514,0.0034890945351147,0,19.6060013278851,10.9420844122428,2
2026-05-29 05:46:49,2026-05-29 05:49:49,1,3.15666875769055,0.0111132651075805,1,18.8066687576906,13.9369089819951,1
2026-05-29 05:49:49,2026-05-29 05:52:49,1,0.372910327546089,0.0019516590761126,1,16.0229103275461,5.3505293080503,1
2026-05-29 05:52:49,2026-05-29 05:55:49,1,1.61618705035971,0.0026302883544295,0,17.2661870503597,8.27220759932071,1
2026-05-29 05:55:49,2026-05-29 05:58:49,1,1.65547750855426,0.0030299529900345,3,17.3054775085543,8.7633004821779,1
2026-05-29 06:01:50,2026-05-29 06:04:50,1,1.93241758241758,0.0058843633217984,0,17.5824175824176,5.53106339365268,1
2026-05-29 06:04:50,2026-05-29 06:07:50,1,2.36801801801801,0.0025600066347505,1,18.018018018018,10.3926789065432,1
2026-05-29 06:07:50,2026-05-29 06:10:50,1,4.26701244813279,0.0047574374538387,1,19.9170124481328,10.9415639548045,1
2026-05-29 06:10:50,2026-05-29 06:13:50,1,5.12922077922078,0.0022435048306648,1,20.7792207792208,5.90693753828511,1
2026-05-29 06:13:51,2026-05-29 06:16:51,0,2.56631878557873,0.0020910708887392,1,18.2163187855787,6.8344026796428,0
2026-05-29 06:16:51,2026-05-29 06:19:51,1,3.04160579789292,0.0032501286391077,0,18.6916057978929,6.77917927969643,2
2026-05-29 06:19:51,2026-05-29 06:22:51,1,2.82014859288384,0.0048334803337894,0,18.4701485928838,12.5901463064995,2
2026-05-29 06:22:51,2026-05-29 06:25:51,1,4.08684210526315,0.0028984219825083,5,19.7368421052632,9.85521114133673,2
2026-05-29 06:25:51,2026-05-29 06:28:51,1,1.88374998931286,0.0046455969052491,0,17.5337499893129,9.72885286749818,2
2026-05-29 06:28:52,2026-05-29 06:31:52,1,2.9546511627907,0.0032918935998339,5,18.6046511627907,12.1133977752117,2
2026-05-29 06:31:52,2026-05-29 06:34:52,1,2.55023014959724,0.0027768125021434,6,18.2002301495972,8.56030219117528,2
2026-05-29 06:34:52,2026-05-29 06:37:52,1,5.58893805309734,0.0057829733786635,2,21.2389380530973,14.4303340359689,2
2026-05-29 06:37:52,2026-05-29 06:40:52,1,2.65204662291054,0.0026926064218073,10,18.3020466229105,11.1898669679277,2
2026-05-29 06:40:52,2026-05-29 06:43:52,1,2.41497062800396,0.002927857724056,0,18.064970628004,12.7463171178089,2
2026-05-29 06:43:53,2026-05-29 06:46:53,1,4.61041125380447,0.0050564784592199,1,20.2604112538045,15.0792640826827,2
2026-05-29 06:46:53,2026-05-29 06:49:53,1,3.94477472673954,0.0059078160308227,0,19.5947747267395,10.8013783119911,2
2026-05-29 06:49:53,2026-05-29 06:52:53,1,1.93513931888545,0.0046078065306002,0,17.5851393188854,7.92558945818374,2
2026-05-29 06:52:53,2026-05-29 06:55:53,1,2.43604687522208,0.001932567362772,1,18.0860468752221,3.3342346349973,2
2026-05-29 06:55:53,2026-05-29 06:58:53,1,5.25153740785467,0.0026829735369684,1,20.9015374078547,14.9359171080213,2
2026-05-29 06:58:54,2026-05-29 07:01:54,1,3.72989351706859,0.0016335172787926,0,19.3798935170686,3.10158470444077,2
2026-05-29 07:01:54,2026-05-29 07:04:54,1,4.07602739726027,0.0030439737986193,0,19.7260273972603,10.94844335247,2
2026-05-29 07:04:54,2026-05-29 07:07:54,1,1.5419770773639,0.0026961087544978,0,17.1919770773639,4.56432796719332,2
2026-05-29 07:07:54,2026-05-29 07:10:54,1,3.17462404484711,0.0076766471750537,0,18.8246240448471,10.3704226434584,2
2026-05-29 07:10:54,2026-05-29 07:13:54,1,3.34262802917418,0.0025945611640884,0,18.9926280291742,8.04220619394918,2
